L Ef kx gap_2nd_microeV gap_4th_microeV
4.000000000000000000e+02 0.000000000000000000e+00 1.303030303030303094e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.318181818181818170e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.333333333333333245e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.348484848484848495e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.363636363636363570e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.378787878787878819e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.393939393939393895e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.409090909090909144e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.424242424242424220e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.439393939393939469e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.454545454545454544e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.469696969696969620e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.484848484848484869e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 0.000000000000000000e+00 1.499999999999999944e-02 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 3.846153846153845947e-06 0.000000000000000000e+00 3.512815038853034366e-11 3.512815038853034366e-11
4.000000000000000000e+02 3.846153846153845947e-06 1.515151515151515150e-04 3.968789803179481601e-01 3.968295544743219438e-01
4.000000000000000000e+02 3.846153846153845947e-06 3.030303030303030300e-04 7.937579606714582070e-01 7.936541890777095709e-01
4.000000000000000000e+02 3.846153846153845947e-06 4.545454545454545451e-04 1.190636941027136464e+00 1.190468983869839903e+00
4.000000000000000000e+02 3.846153846153845947e-06 6.060606060606060601e-04 1.587515921380212802e+00 1.587269018949420740e+00
4.000000000000000000e+02 3.846153846153845947e-06 7.575757575757575751e-04 1.984394901733722794e+00 1.984049374406486654e+00
4.000000000000000000e+02 3.846153846153845947e-06 9.090909090909090901e-04 2.381273882089401273e+00 2.380805130336276054e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.060606060606060497e-03 2.778152862442477389e+00 2.777531366836196725e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.212121212121212120e-03 3.175031842797722437e+00 3.174223163995414598e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.363636363636363744e-03 3.571910823151665859e+00 3.570875601916541964e+00
4.000000000000000000e+02 3.846153846153845947e-06 1.515151515151515150e-03 3.968789803504742419e+00 3.967483760687878114e+00
