kx  E  alpha(eV.A)  gap_meV
9.600000000000001327e-04 5.999999999999999778e-01 2.070512511330433250e-02 3.975384021757868425e+01
9.600000000000001327e-04 1.199999999999999956e+00 4.033246325058867376e-02 7.743832944110242522e+01
9.600000000000001327e-04 1.799999999999999822e+00 5.818066908273040322e-02 1.117068846388353620e+02
9.600000000000001327e-04 2.399999999999999911e+00 7.375360799715567628e-02 1.416069273545792555e+02
9.600000000000001327e-04 2.999999999999999556e+00 8.668186526372109735e-02 1.664291813062504559e+02
9.600000000000001327e-04 3.599999999999999645e+00 9.678071716774187816e-02 1.858189769618073797e+02
9.600000000000001327e-04 4.199999999999999289e+00 1.040856182483701486e-01 1.998443870368481328e+02
9.600000000000001327e-04 4.799999999999999822e+00 1.088289742818158018e-01 2.089516306203742602e+02
9.600000000000001327e-04 5.399999999999998579e+00 1.113769295656237557e-01 2.138437047662957013e+02
9.600000000000001327e-04 5.999999999999999112e+00 1.121558336009113588e-01 2.153392005136631155e+02
9.600000000000001327e-04 6.599999999999999645e+00 1.115906985220336128e-01 2.142541411620651957e+02
9.600000000000001327e-04 7.199999999999999289e+00 1.100650631630024773e-01 2.113249212716203260e+02
9.600000000000001327e-04 7.799999999999998934e+00 1.079015294372885486e-01 2.071709365202567596e+02
9.600000000000001327e-04 8.399999999999998579e+00 1.053574536723964339e-01 2.022863110519926408e+02
9.600000000000001327e-04 9.000000000000000000e+00 1.026296333505986452e-01 1.970488960321842171e+02
9.600000000000001327e-04 9.599999999999999645e+00 9.986315512890268919e-02 1.917372578473797091e+02
9.600000000000001327e-04 1.019999999999999929e+01 9.716130317269851269e-02 1.865497020912681876e+02
9.600000000000001327e-04 1.079999999999999716e+01 9.459485258012748088e-02 1.816221169545634382e+02
9.600000000000001327e-04 1.140000000000000036e+01 9.221002433124812769e-02 1.770432467169957818e+02
9.600000000000001327e-04 1.199999999999999822e+01 9.003492702134550940e-02 1.728670598812737182e+02
1.040000000000000126e-03 0.000000000000000000e+00 0.000000000000000000e+00 0.000000000000000000e+00
1.040000000000000126e-03 5.999999999999999778e-01 2.070512511330420066e-02 4.306666023563224854e+01
1.040000000000000126e-03 1.199999999999999956e+00 4.033246325058674475e-02 8.389152356140083100e+01
1.040000000000000126e-03 1.799999999999999822e+00 5.818066908273116650e-02 1.210157916920845906e+02
1.040000000000000126e-03 2.399999999999999911e+00 7.375360799715566240e-02 1.534075046342002508e+02
1.040000000000000126e-03 2.999999999999999556e+00 8.668186526372398393e-02 1.802982797485027504e+02
1.040000000000000126e-03 3.599999999999999645e+00 9.678071716774069855e-02 2.013038917089392328e+02
